CLR_START, CLR_END, REND_START, REND_END,,CLR_TIME,REND_TIME,,AVG_CLEAR,AVG_REND,
2510000,114855000,114865000,235485000,,112345000,120620000,,137504609.4,138434687.5,ps
236485000,356175000,356185000,480575000,,119690000,124390000,,137504.6094,138434.6875,ns
481575000,605035000,605045000,743205000,,123460000,138160000,,137.5046094,138.4346875,us
744205000,881435000,881445000,1027225000,,137230000,145780000,,0.137504609,0.138434688,ms
1028225000,1173075000,1173085000,1320825000,,144850000,147740000,,,,
1321825000,1468635000,1468645000,1617575000,,146810000,148930000,,STD_CLEAR,AVG_REND,
1618575000,1766575000,1766585000,1915175000,,148000000,148590000,,12638879.4,12638721.43,
1916175000,2063835000,2063845000,2207945000,,147660000,144100000,,12638.8794,12638.72143,ns
2208945000,2352115000,2352125000,2497565000,,143170000,145440000,,12.6388794,12.63872143,us
2498565000,2643075000,2643085000,2787335000,,144510000,144250000,,0.012638879,0.012638721,ms
2788335000,2931655000,2931665000,3075165000,,143320000,143500000,,,,
3076165000,3218735000,3218745000,3360765000,,142570000,142020000,,,,
3361765000,3502855000,3502865000,3638265000,,141090000,135400000,,,,
3639265000,3773735000,3773745000,3892005000,,134470000,118260000,,,,
3893005000,4010335000,4010345000,4131575000,,117330000,121230000,,,,
4132575000,4252875000,4252885000,4373005000,,120300000,120120000,,,,
4374005000,4493195000,4493205000,4619845000,,119190000,126640000,,,,
4620845000,4746555000,4746565000,4877105000,,125710000,130540000,,,,
4878105000,5007715000,5007725000,5151345000,,129610000,143620000,,,,
5152345000,5295035000,5295045000,5445385000,,142690000,150340000,,,,
5446385000,5595795000,5595805000,5749145000,,149410000,153340000,,,,
5750145000,5902555000,5902565000,6057345000,,152410000,154780000,,,,
6058345000,6212195000,6212205000,6367885000,,153850000,155680000,,,,
6368885000,6523635000,6523645000,6675045000,,154750000,151400000,,,,
6676045000,6826515000,6826525000,6979055000,,150470000,152530000,,,,
6980055000,7131655000,7131665000,7281765000,,151600000,150100000,,,,
7282765000,7431935000,7431945000,7581045000,,149170000,149100000,,,,
7582045000,7730215000,7730225000,7876805000,,148170000,146580000,,,,
7877805000,8023455000,8023465000,8164325000,,145650000,140860000,,,,
8165325000,8305255000,8305265000,8426255000,,139930000,120990000,,,,
8427255000,8547315000,8547325000,8671155000,,120060000,123830000,,,,
8672155000,8795055000,8795065000,8918605000,,122900000,123540000,,,,
8919605000,9042215000,9042225000,9173105000,,122610000,130880000,,,,
9174105000,9304055000,9304065000,9438715000,,129950000,134650000,,,,
9439715000,9573435000,9573445000,9715025000,,133720000,141580000,,,,
9716025000,9856675000,9856685000,10005885000,,140650000,149200000,,,,
10006885000,10155155000,10155165000,10306325000,,148270000,151160000,,,,
10307325000,10457555000,10457565000,10609915000,,150230000,152350000,,,,
10610915000,10762335000,10762345000,10914355000,,151420000,152010000,,,,
10915355000,11066435000,11066445000,11213965000,,151080000,147520000,,,,
11214965000,11361555000,11361565000,11510425000,,146590000,148860000,,,,
11511425000,11659355000,11659365000,11807035000,,147930000,147670000,,,,
11808035000,11954775000,11954785000,12101705000,,146740000,146920000,,,,
12102705000,12248695000,12248705000,12394145000,,145990000,145440000,,,,
12395145000,12539655000,12539665000,12678485000,,144510000,138820000,,,,
12679485000,12817375000,12817385000,12932225000,,137890000,114840000,,,,
12933225000,13047135000,13047145000,13164955000,,113910000,117810000,,,,
13165955000,13282835000,13282845000,13399545000,,116880000,116700000,,,,
13400545000,13516315000,13516325000,13639545000,,115770000,123220000,,,,
13640545000,13762835000,13762845000,13889965000,,122290000,127120000,,,,
13890965000,14017155000,14017165000,14153945000,,126190000,136780000,,,,
14154945000,14290795000,14290805000,14434305000,,135850000,143500000,,,,
14435305000,14577875000,14577885000,14724385000,,142570000,146500000,,,,
14725385000,14870955000,14870965000,15018905000,,145570000,147940000,,,,
15019905000,15166915000,15166925000,15315765000,,147010000,148840000,,,,
15316765000,15464675000,15464685000,15609245000,,147910000,144560000,,,,
15610245000,15753875000,15753885000,15899575000,,143630000,145690000,,,,
15900575000,16045335000,16045345000,16188605000,,144760000,143260000,,,,
16189605000,16331935000,16331945000,16474205000,,142330000,142260000,,,,
16475205000,16616535000,16616545000,16756285000,,141330000,139740000,,,,
16757285000,16896095000,16896105000,17030125000,,138810000,134020000,,,,
17031125000,17164215000,17164225000,17274955000,,133090000,110730000,,,,
17275955000,17385755000,17385765000,17499335000,,109800000,113570000,,,,
17500335000,17612975000,17612985000,17726265000,,112640000,113280000,,,,
